station_name,station_city,station_geopos,station_capacity,station_id
East Los Angeles Avenue,Los Angeles,34.17108484207943::-118.7077111200275,5,2645
29th Avenue South,Seattle,26.14018946789696::-80.19140142985539,34,3539
East Side Access,New York,40.68612413842959::-73.74442379055186,2,2263
1855 South Troy Street,Chicago,41.96917108808116::-87.66652950104933,7,919
Preston Road,Dallas,33.06696641240205::-96.68725732171288,7,2197
881 East 38th Street,New York,40.72481590916698::-73.69810205480485,7,1500
Runway 16L/34R,Seattle,47.67064140388609::-122.380419412489,7,3490
Inverrary Drive,Miami,26.37587985538594::-80.18222802871078,32,3472
South Arlington Heights Road,Chicago,41.99233575788618::-87.71443964977753,14,2567
Vashon Drive,Dallas,32.74402385494272::-96.69407208765837,22,276
North Pompano Beach Boulevard,Miami,25.64655705296675::-80.35043962317287,22,58
114th Street,New York,40.58227467449878::-73.94914722253472,7,2280
Fair Court,Dallas,32.82032993695163::-96.93127619940121,7,2813
55-03 137th Street,New York,40.86462917371928::-73.8198919850263,16,2241
Technology Boulevard West,Dallas,33.14246117531304::-96.67739645607043,7,3598
The Grotto,Los Angeles,34.27802714715792::-118.8669347033574,7,2548
A,New York,40.69848633110977::-73.76002314062352,23,2891
Northeast 32nd Street,Miami,26.01116454651631::-80.3430316609544,7,2234
Oakwood Avenue,Chicago,41.83386704123715::-87.60651343947301,7,2107
Grapevine Way,Miami,25.68557955926807::-80.41982650078286,34,2696
Arroyo Conejo Trail,Los Angeles,34.15518885250886::-118.5931859119201,4,636
5105 North Wolcott Avenue,Chicago,41.99221413964909::-87.69669667736032,7,869
Steiner Street,San Francisco,37.68268271444236::-122.4724781736002,2,1725
West Arthur Avenue,Chicago,41.84701947106334::-87.6759827363708,26,3530
,Miami,25.80871223492706::-80.341931968342,7,263
Southwest 196th Street,Miami,26.26091250588702::-80.14806664396605,7,756
East Rand Road,Chicago,41.90818320713423::-87.73759423605698,7,1934
Ruckman Avenue,San Francisco,37.63849156275024::-122.4084945782223,4,370
California Street,San Francisco,37.64668457530689::-122.4327231989098,2,1920
President George Bush Turnpike,Dallas,33.05168445714124::-96.7751022829911,28,1238
Drafthorse Lane,Seattle,47.5905768281863::-122.1959702257067,31,1155
North Rose Avenue,Los Angeles,34.1662027804811::-118.7912282132711,21,1801
Elm Street,Dallas,33.01364566823854::-96.720302053327,7,3587
Backbone Trail,Los Angeles,34.34468980089992::-118.9151271060001,7,3025
North 74th Court,Chicago,42.0042686472402::-87.75918120624371,2,1426
3365 North Central Park Avenue,Chicago,42.00140033925906::-87.90598332577112,7,817
Riverview Drive Northeast,Seattle,26.78731080252738::-80.10944146056798,22,124
Deveron Drive,Los Angeles,33.95108527937928::-118.1029705148273,7,3589
Amador Lane,Miami,25.57043542596833::-80.42174157914526,7,723
CHARLIE,Chicago,41.99221413964909::-87.69669667736032,18,1010
Seasoned Road,Los Angeles,33.84244715624251::-117.9785032189267,20,2824
28th Avenue Northeast,Seattle,47.44511512559568::-122.2857436023661,7,83
Southwest 5th Street,Miami,25.89666955471242::-80.33817019345126,18,3728
Buckner Boulevard,Dallas,32.75171351641144::-97.02638711517569,5,2719
240-49 42nd Avenue,New York,40.72834219356727::-73.74209949476776,7,1194
Shoreline Bike Path,Los Angeles,34.24761792506467::-119.0859727393569,7,321
5144 West Grace Street,Chicago,41.8551850974188::-87.73521792115436,31,2998
Lina Street,Dallas,32.86083257678932::-97.03540225033109,8,1366
Cindy Circle Lane,Seattle,26.62549247964323::-80.06486162481603,16,1143
Rowlett Creek Trail,Dallas,32.81287949416505::-96.74889932127761,30,1168
Green River Trail,Seattle,47.7310662069893::-122.174795665601,24,135
10th Street South,Seattle,47.72859106151354::-122.3275522847097,23,3417
Falconview Lane,Los Angeles,34.14895975369387::-118.9646107183407,34,3353
McKinley Street,Seattle,26.19475307572954::-80.38154838829392,1,2007
North MacArthur Boulevard,Dallas,33.0131239716511::-96.83570167437777,17,3439
California Street,San Francisco,37.79655654475761::-122.4038097074523,13,80
Pier 32,San Francisco,37.75385401524473::-122.3881004624693,25,70
Moultrie Street,New York,40.75860208130123::-73.86361434042041,31,2688
Laskey Mesa Trail,Los Angeles,34.20572836737686::-118.52625398406,7,320
Southeast 3rd Street,Seattle,47.77125532223686::-122.3165567207052,48,2590
94-12 77th Street,New York,40.70319007158085::-73.91215742176095,10,522
East Grand Avenue,San Francisco,37.78855546415785::-122.4683005995288,14,3431
1910 West Larchmont Avenue,Chicago,41.84701947106334::-87.6759827363708,7,3005
12th Avenue South,Seattle,26.04079366798096::-80.10216294807826,12,1220
Executive Drive,San Francisco,37.77583167163165::-122.5044454633106,8,3209
10491 East Touhy Avenue,Chicago,41.95522121531604::-87.65763932854202,7,2191
Sword Drive,Dallas,32.88439541955253::-96.83367603074821,7,3194
East Los Angeles Avenue,Los Angeles,33.93119724079241::-118.0245534032737,35,3564
Illinois Street,San Francisco,37.63317895067341::-122.3962054671626,37,854
County Line Road,Dallas,32.87319166700689::-96.91296823986949,14,1148
Edmonds Way,Seattle,47.51694307860344::-122.3458707804615,7,3635
Palmetto Expressway,Miami,26.69782430084462::-80.10260591664876,39,1302
Hondo Ranch Road,Los Angeles,34.17044938263041::-118.5986772422143,7,3504
12126 Limestone Drive,Dallas,33.10755983928984::-96.7694790019565,41,2732
Gibb Street,San Francisco,37.79655654475761::-122.4038097074523,35,2627
40th Avenue,San Francisco,37.69050248061419::-122.4154799339321,14,2621
Steeplechase Drive,Dallas,33.04840781874966::-96.85792860057262,48,2385
2563 East 18th Street,New York,40.73087171138179::-73.90479801533648,7,1850
1 Letterman Drive,San Francisco,37.78237732768424::-122.5063883986566,13,466
North Seatac Park,Seattle,47.78624121359299::-122.3251771840891,35,614
School Street,San Francisco,37.79588338135945::-122.4277463266222,31,84
Express Lanes,Chicago,42.02828810980092::-87.65380807237175,23,3645
Valley Drive,San Francisco,37.73200079446925::-122.395704220734,36,517
Strathern Street,Los Angeles,34.02569067711842::-118.252445316575,46,3324
1358 Morrison Avenue,New York,40.70124343959578::-73.69385131416065,48,1138
1660-1668 West Ogden Avenue,Chicago,42.034621053552::-87.89984354331536,55,3727
Coney Island Avenue,New York,40.71073571301085::-73.89690730452985,7,403
Canyon Ridge Drive,Dallas,32.8610852627662::-96.87073632702683,33,2941
Southeast 164th Street,Seattle,47.81690728095107::-122.3940106133428,48,3458
Hazeltine Avenue,Los Angeles,34.24123890974771::-118.6928634934381,10,2223
Southwest 184th Street,Miami,26.10318666609727::-80.27390920627936,8,2964
3341 Paulding Avenue,New York,40.904268647075::-73.84069391678491,7,2328
Ludlam Avenue,New York,40.58500276741292::-73.93680950743838,26,2029
Fire Station Number 36,Dallas,32.8376335267788::-96.86334808893074,7,2281
Tribune Street,Los Angeles,34.27626144513139::-119.101387652386,7,238
Via de Casas Sur,Miami,25.71676584784742::-80.32965785613865,9,1048
Powerline Trail,Los Angeles,34.1902148084853::-118.8250224104108,7,1025
Crepe Myrtle Hill,Dallas,32.7974334941438::-96.85069190406325,35,3716
Pacific Coast Highway,Los Angeles,34.12101551990047::-118.4333779629994,17,1795
Grandiflora Road,Miami,26.71077015815183::-80.28313541733182,7,773
North Seeley Avenue,Chicago,41.88781192038201::-87.66304239894961,33,2472
Pioneer Parkway,Dallas,32.69478866780226::-97.05007452129566,35,2063
West Verde Woods,Dallas,32.83587273818566::-96.70659631198652,7,1474
Rodeo Drive,Seattle,47.78586118914388::-122.409718465367,7,3356
57th Avenue South,Seattle,47.32055669493534::-122.2325502110873,16,209
3601-3603 South Union Avenue,Chicago,41.92180713119819::-87.72085529588581,7,2598
Westlake Boulevard,Los Angeles,34.29788970812271::-118.7337489508232,5,2008
North Moorpark Road,Los Angeles,33.91874662157312::-118.0319327546659,11,1005
South Sierra Vista Street,Los Angeles,34.20610769730845::-118.8201791454324,7,334
Cicero Township Fire and Police Station,Chicago,41.94940779468599::-87.64812255605757,31,808
Bell Canyon Boulevard,Los Angeles,34.01368158483013::-118.0286567774602,15,1492
West 30th Street,Miami,26.62823119473334::-80.15353972467997,7,2991
Potrero Avenue,San Francisco,37.68996668746281::-122.4139082031226,7,3679
Submerged Sill,Chicago,41.95490921714128::-87.83944019823952,7,1205
Southwest 49th Way,Seattle,47.46745270999267::-122.2512019421445,34,2731
Cedar Circle,Dallas,32.71610666595412::-96.64525408512141,27,2887
North Braymore Drive,Chicago,41.81437856031131::-87.6882736783883,7,592
West Grand Avenue,Chicago,41.88781192038201::-87.66304239894961,27,510
36th Avenue,San Francisco,37.75128298046377::-122.4767576637745,50,2184
North Green Street,Chicago,41.96500676752762::-87.69287804172338,7,2916
Cindy Circle Lane,Miami,25.92841173255639::-80.2206244191583,12,844
Saint Andrew's Court,Dallas,32.91866385831283::-96.8376246508484,7,1081
Southwest 12th Street,Miami,26.13557829462067::-80.3155494884431,28,271
2630 North Dayton Street,Chicago,41.97249471203896::-87.82089801773822,7,3068
West Janss Road,Los Angeles,33.94163333972146::-118.1500875582361,7,299
Kenwood Avenue,Dallas,32.72784742915129::-96.86377838764676,26,2111
500 Howard Street,San Francisco,37.70139021932212::-122.4125427156289,7,570
Devonshire Drive,New York,40.66658828410063::-73.74848451889206,7,2318
Gregory Street,New York,40.74032872913852::-73.70258899584408,7,889
Carnelian Way,San Francisco,37.65348016170013::-122.4518136654367,28,1866
Wheat Street,San Francisco,37.74319721633217::-122.4900265186966,20,1751
Municipal Pier,San Francisco,37.7318554811175::-122.4483183862283,4,2852
Olivet Parkway,San Francisco,37.77583167163165::-122.5044454633106,7,1568
Belle Starr Drive,Dallas,32.7575795603482::-96.86545094046454,43,3288
160-16 Jamaica Avenue,New York,40.69848633110977::-73.76002314062352,21,2150
Holmes Circle,Los Angeles,34.22497369641274::-118.8831465579859,3,2902
Northeast 9th Avenue,Miami,25.74127808461476::-80.35423878526909,51,1799
Evans Avenue,San Francisco,37.77324116996892::-122.4937914029637,15,1468
Northwest 65th Way,Seattle,47.75319439743959::-122.2043036999893,18,839
South 156th Street,Seattle,47.75178405418695::-122.1807163344576,39,3010
South Park Plaza Drive,San Francisco,37.78449813144201::-122.3905172401745,4,3397
West 47th Place,Los Angeles,34.23076729679217::-118.8435691621124,7,2491
5240 North Sawyer Avenue,Chicago,41.87445119368797::-87.65041277576653,7,389
Edie Road,San Francisco,37.78636015459937::-122.391781670478,26,183
Depot Road,New York,40.76398976980317::-73.90644352327352,7,3259
Welsh Street,San Francisco,37.65824437919783::-122.3980688415048,18,267
East 10th Street,Los Angeles,34.19263825532243::-118.930751126545,19,2158
3rd Street,San Francisco,37.74553753553976::-122.3806972187118,2,1235
Lubao Avenue,Los Angeles,34.32501676058467::-118.8352255835479,7,3638
Knoll Hollow Trail,Dallas,33.04929550628304::-96.75036052776834,7,310
Northeast 207th Street,Miami,26.72321216182261::-80.2333633423617,7,212
Arlington Avenue,Los Angeles,34.21880922421672::-118.6007092488065,7,3135
5436 North Octavia Avenue,Chicago,41.88797842185992::-87.64345396652278,18,1899
South Broadway,Los Angeles,33.93936754788979::-118.1915241431561,7,3514
Monarch Drive,Denver,40.0399909712694::-104.9106175209761,35,236
95th Place West,Seattle,47.68446137282037::-122.2911617987484,1,1611
Apollo Street,New York,40.78830778205752::-73.88571624094423,13,3213
Northwest 12th Street,Miami,26.38383754810597::-80.15230875976577,44,2811
,Miami,25.96100115812901::-80.33180519364991,18,801
Northeast 186th Street,Seattle,26.10318666609727::-80.27390920627936,24,2490
Burbank Boulevard,Los Angeles,34.21380933110945::-119.1271884680526,35,3143
Mc Cutcheon Lane,Dallas,32.99149596062449::-96.6551153755549,7,1929
16th,San Francisco,37.66358585550217::-122.392841959114,7,194
Terrapin Trail,Miami,25.84661287562099::-80.28373291892305,7,3233
Inlet Grove Community High School,Miami,26.67748382425182::-80.07603059513833,47,1963
Steiner Street,San Francisco,37.6607781631782::-122.3905289383024,31,573
North Dee Road,Chicago,41.85247768452759::-87.72463223965082,35,863
Green Acres Road South,New York,40.76902859293912::-73.74521313397956,7,2384
Howard Street,San Francisco,37.78308843303647::-122.5024382440561,7,1034
North Hamlin Avenue,Chicago,41.99091010426667::-87.74650103834941,12,724
South 277th Street,Seattle,47.74422132125279::-122.3478878323462,18,337
5959 140th Avenue North,Miami,26.4624315328563::-80.16135820618071,23,1943
Trammel Davis Drive,Dallas,33.00343911778896::-96.71453609855205,7,1301
Sea Oats Drive,Seattle,47.56184974821169::-122.3256762089754,30,2404
138-35 Elder Avenue,New York,40.68325454590282::-73.81367830777613,8,2363
Divisadero Street,San Francisco,37.65115802247846::-122.4239716861053,18,3314
Meadowside Trail,Dallas,32.71355382122381::-96.98874825149686,17,3021
Sanderosa Lane,Dallas,32.8683534676705::-96.77997360980095,41,515
New York and Flushing Railroad,New York,40.78509519956894::-73.81544411886416,28,2522
El Verano Way,San Francisco,37.79805013215879::-122.413047744332,0,437
187-03 Baisley Boulevard,New York,40.69339088793538::-73.87358255480153,16,1404
3146 Westchester Avenue,New York,40.64415513574674::-73.90608116266537,11,1408
Sutter Street,San Francisco,37.71487085517067::-122.4848992183157,2,1320
78-17 Northern Boulevard,New York,40.71702486600976::-73.70586683099486,29,1609
South 143rd Street,Seattle,47.78827168507758::-122.371920589443,28,727
South Cornell Drive,Chicago,42.0859667816249::-87.93641270847047,35,3636
Corte Cancion,Los Angeles,33.80595678112911::-118.2372229663699,7,3534
Mt. Galbraith Loop,Denver,39.90275722483379::-105.1530117155936,7,99
500 Howard Street,San Francisco,37.63959843868464::-122.4133510384124,24,2403
Spruce Street,Los Angeles,34.06076117961135::-118.1155142967533,28,2583
Northwest 63rd Court Circle East,Miami,26.1403691837245::-80.24444001397849,30,460
Cresthaven Drive,Dallas,32.92714169466551::-96.95734644345163,7,865
North Patton Avenue,Chicago,41.99259967318993::-87.68500058582059,49,2554
815 Northwest 54th Street,Seattle,47.48239726617451::-122.3363906357099,41,3512
East 52nd Street,Los Angeles,34.34021193579033::-118.9610610957592,7,2796
Arbor Walk Drive,Miami,26.60149482056763::-80.07442859302678,28,2272
Lyndon B Johnson Freeway,Dallas,33.11970180245295::-96.76985331457097,7,3696
West Kinzie Street,Chicago,41.85426870513474::-87.68098836832381,29,2908
Sequoia Avenue,Los Angeles,34.1992644935773::-118.456589574224,34,3410
West McNab Road,Seattle,47.69871324373023::-122.3512133846712,55,3047
West Berteau Avenue,Chicago,41.92814561665497::-87.67156720632256,51,3174
Randi Avenue,Los Angeles,34.25570150278512::-119.1248366885142,52,1595
Cowper Avenue,Dallas,32.92479651598503::-96.78743236348851,7,152
4520 Eastern Avenue North,Seattle,47.76634078404637::-122.3170119353522,20,140
East 76th Avenue,Denver,39.94178205926709::-105.1491059079344,7,261
Fitch Street,San Francisco,37.76455552066076::-122.395207946475,43,667
Laguna Peak Access Road,Los Angeles,34.15273282660225::-118.9016499186151,23,3382
3227-3229 South Canal Street,Chicago,41.95548836918532::-87.80814453473413,28,1885
East Northwest Highway,Chicago,41.93285421684435::-87.67880251980256,7,1313
137-36 133rd Avenue,New York,40.834528795849::-73.84414587741057,7,351
Lombard Street,San Francisco,37.7260578168332::-122.3749577682041,12,374
Lake Street,San Francisco,37.73101042162142::-122.423829738007,2,557
Northwest 61st Avenue,Miami,26.25494543181776::-80.22807348353639,40,778
Sabal Lake Drive,Miami,25.70166146582963::-80.33561976922462,7,2245
South 177th Court,Seattle,47.8242073813028::-122.3699164228369,7,3301
BNSF Corwith Intermodel Facility,Chicago,42.07030838425949::-87.901306532232,4,2897
Tukwila International Boulevard,Seattle,47.46889214998995::-122.2716828732595,16,1840
22nd Place Northeast,Seattle,25.99472611403307::-80.25456831805144,7,577
Lancaster Lane,Seattle,47.68441456342062::-122.2967191917307,31,3193
Bender Road,Chicago,41.88581235978409::-87.63400421322464,26,2101
Marin Street,San Francisco,37.75749976689782::-122.4990112264047,7,818
Garapito Canyon Trail,Los Angeles,34.22632874178074::-118.8895971250808,7,3175
West Lake Sammamish Parkway Southeast,Seattle,47.49743492392187::-122.2793805027135,7,452
716 East 40th Street,New York,40.71788629835175::-73.92790403480835,7,3625
Sanderosa Lane,Dallas,32.95860203662022::-96.65772010992258,30,777
5th Street,Miami,26.78310810026313::-80.10631674507222,5,1914
905 Northeast 75th Street,Seattle,47.57067754671052::-122.3548104348686,7,949
West Bradley Place,Chicago,42.06199227365584::-87.91663949419231,49,1747
South Highland Circle,Dallas,32.77047575887423::-96.73646354583251,7,141
North Rose Avenue,Los Angeles,34.21880922421672::-118.6007092488065,9,1173
102nd Avenue Southeast,Seattle,47.69871324373023::-122.3512133846712,47,2974
Emergency Road,Dallas,32.96976683328096::-96.63977017963592,24,1024
Midway Avenue,San Francisco,37.63412329122313::-122.4426078832777,7,568
Crawford Avenue,Chicago,41.83645117687212::-87.5993944016778,29,1678
